match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53366,22/11/2025,7,People Strategy Roseto,La Molisana Magnolia Campobasso,False,49,69,L,4,67.0,19.0,7.0,17.0,28.0,15.0,62.0,27.0,11.0,8.0,33.0,10.0,67.6,68.5,68.0
53367,23/11/2025,7,Umana Reyer Venezia,Geas Sesto San Giovanni,True,71,58,W,4,61.0,25.0,14.0,10.0,31.0,15.0,63.0,24.0,5.0,8.0,27.0,15.0,71.7,71.6,71.7
53367,23/11/2025,7,Geas Sesto San Giovanni,Umana Reyer Venezia,False,58,71,L,4,63.0,24.0,5.0,8.0,27.0,15.0,61.0,25.0,14.0,10.0,31.0,15.0,71.6,71.7,71.7
53368,23/11/2025,7,Alama San Martino di Lupari,Autosped G Castelnuovo Scrivia,True,84,91,L,4,68.0,27.0,17.0,12.0,23.0,10.0,72.0,37.0,13.0,16.0,29.0,12.0,72.6,74.4,73.5
53368,23/11/2025,7,Autosped G Castelnuovo Scrivia,Alama San Martino di Lupari,False,91,84,W,4,72.0,37.0,13.0,16.0,29.0,12.0,68.0,27.0,17.0,12.0,23.0,10.0,74.4,72.6,73.5
53369,23/11/2025,7,RMB Brixia Basket San Paolo,Logiman Broni,True,87,63,W,4,61.0,32.0,15.0,9.0,22.0,15.0,48.0,21.0,24.0,12.0,20.0,26.0,73.0,74.4,73.7
53369,23/11/2025,7,Logiman Broni,RMB Brixia Basket San Paolo,False,63,87,L,4,48.0,21.0,24.0,12.0,20.0,26.0,61.0,32.0,15.0,9.0,22.0,15.0,74.4,73.0,73.7
53370,23/11/2025,7,Famila Wuber Schio,Dinamo Banco di Sardegna Sassari,True,94,51,W,4,63.0,35.0,20.0,11.0,36.0,9.0,59.0,18.0,15.0,6.0,18.0,12.0,69.4,71.3,70.3
53370,23/11/2025,7,Dinamo Banco di Sardegna Sassari,Famila Wuber Schio,False,51,94,L,4,59.0,18.0,15.0,6.0,18.0,12.0,63.0,35.0,20.0,11.0,36.0,9.0,71.3,69.4,70.3
53371,30/11/2025,8,Logiman Broni,La Molisana Magnolia Campobasso,True,68,72,L,5,64.0,24.0,14.0,9.0,25.0,12.0,63.0,26.0,14.0,10.0,33.0,14.0,64.9,63.9,64.4
53371,30/11/2025,8,La Molisana Magnolia Campobasso,Logiman Broni,False,72,68,W,5,63.0,26.0,14.0,10.0,33.0,14.0,64.0,24.0,14.0,9.0,25.0,12.0,63.9,64.9,64.4
53372,30/11/2025,8,Dinamo Banco di Sardegna Sassari,O.ME.P.S. Battipaglia,True,86,72,W,4,68.0,31.0,11.0,8.0,27.0,11.0,64.0,29.0,9.0,9.0,32.0,17.0,75.9,75.6,75.8
53372,30/11/2025,8,O.ME.P.S. Battipaglia,Dinamo Banco di Sardegna Sassari,False,72,86,L,4,64.0,29.0,9.0,9.0,32.0,17.0,68.0,31.0,11.0,8.0,27.0,11.0,75.6,75.9,75.8
53373,30/11/2025,8,Umana Reyer Venezia,RMB Brixia Basket San Paolo,True,69,55,W,4,63.0,26.0,16.0,13.0,33.0,15.0,64.0,21.0,6.0,9.0,27.0,14.0,72.2,70.8,71.5
